id,name,group,recorded_at,method_family,execution_backend,transport,model,reasoning_effort,fixed_config_id,step_exact,step_module_exact,all_correct,n,failed_outputs,status,eligible,fresh_end_to_end,semantic_parent,mechanism,metrics_path,fixed_config
R150,official-repo-topology-v1,GAIA-50,2026-08-19T17:44:24+08:00,LLM API,LLM API,LLM API,gpt-4.1,not_applicable,C-175d689e0f,14,9,5,50,0,complete_scored,True,True,,official_repository_independent_step_module_phase1_calls_then_positive_only_full_trajectory_joint_phase2,output/agenterrorbench-sophnet-gpt-4.1-gaia-paper-v6-agent-judge-official-repo-topology-v1-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": ""not_recorded"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": ""not_recorded"", ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-4.1"", ""not_applicable""]], ""one_trajectory_per_session"": ""not_recorded"", ""planned_fresh_sessions_per_case"": ""not_recorded"", ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""not_recorded"", ""temperature"": 0.0, ""timeout_seconds"": 180.0, ""transport"": ""LLM API"", ""transport_retry_budget"": {""legacy_max_retries"": 3, ""max_http_attempts"": 3}, ""workers"": 4}"
R154,strict-v8.2-paper50-v1,GAIA-50,2026-08-21T17:44:08+08:00,LLM API,LLM API,LLM API,gpt-4.1,not_applicable,C-11915ee098,13,3,2,50,0,complete_scored,True,True,,three-top2-specialists-top3-coverage-assessor-selector-module-type,output/agenterrorbench-sophnet-gpt-4.1-gaia-paper-v1-agent-judge-strict-v8p2-paper50-v1-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": ""not_recorded"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": ""not_recorded"", ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-4.1"", ""not_applicable""]], ""one_trajectory_per_session"": ""not_recorded"", ""planned_fresh_sessions_per_case"": ""not_recorded"", ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""not_recorded"", ""temperature"": 0.0, ""timeout_seconds"": 240.0, ""transport"": ""LLM API"", ""transport_retry_budget"": {""legacy_max_retries"": 3, ""max_http_attempts"": 3}, ""workers"": 4}"
R155,luna-gaia-v3.12-global,GAIA-smoke-30,2026-08-22T17:31:33+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-35d29b2e7d,9,6,4,30,0,complete_scored,True,True,,"three fresh Luna sessions: exhaustive full-trajectory step×module census, global root selection, then frozen-step owner/type/evidence binding",output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p12-global-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R156,luna-gaia-v3.13-conservative-challenger,GAIA-50,2026-08-22T20:05:16+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,20,13,9,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.4,one later challenger with default-keep arbiter,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p13-conservative-challenger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R157,luna-gaia-v3.14-earliest-causal-challenger,GAIA-50,2026-08-22T21:42:54+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,24,13,8,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.13-conservative-challenger,earliest path-intervention-causal ordering for the sole later challenger,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p14-earliest-causal-challenger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R158,luna-gaia-v3.15-packet-handoff-closure,GAIA-50,2026-08-23T01:42:32+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,20,13,9,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.14-earliest-causal-challenger,task-material result-to-state and target-to-action packet-handoff closure in the anchor,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p15-packet-handoff-closure-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R159,luna-gaia-v3.16-bounded-bidirectional-challenger,GAIA-50,2026-08-23T03:11:59+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,24,16,11,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.14-earliest-causal-challenger,one bounded earlier-first bidirectional challenger over the unchanged anchor,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p16-bounded-bidirectional-challenger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R160,luna-gaia-v3.17-mandatory-earlier-scan,GAIA-50,2026-08-23T04:47:58+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,19,12,11,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.14-earliest-causal-challenger,validator-enforced ordered earlier-scan ledger before the one challenger,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p17-mandatory-earlier-scan-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R161,luna-gaia-v3.18-probe-contribution-veto,GAIA-50,2026-08-23T06:27:21+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,22,14,9,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.14-earliest-causal-challenger,validator-audited probe-contribution veto in anchor candidate admission,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p18-probe-contribution-veto-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R162,luna-gaia-v3.19-hard-disqualifier-precedence,GAIA-50,2026-08-23T08:02:49+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,20,13,8,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.18-probe-contribution-veto,literal hard-disqualifier precedence over the probe-contribution veto,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p19-hard-disqualifier-precedence-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R163,luna-gaia-v3.20-packet-state-closure,GAIA-50,2026-08-23T09:30:54+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,25,13,9,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.14-earliest-causal-challenger,validator-audited observation-to-Memory/Reflection packet-state closure,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p20-packet-state-closure-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R164,luna-gaia-v3.21-typed-state-claim-entailment,GAIA-50,2026-08-23T11:00:40+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,16,11,8,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.20-packet-state-closure,typed Memory/Reflection claim-kind and entailment-relation closure,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p21-typed-state-claim-entailment-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R165,luna-gaia-v3.22-isolated-bidirectional-state-challenger,GAIA-50,2026-08-23T12:36:24+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,22,12,6,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.20-packet-state-closure,one isolated state-only bidirectional challenger over the v3.20 anchor,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p22-isolated-bidirectional-state-challenger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R166,luna-gaia-v3.23-mandatory-state-scan-before-veto,GAIA-50,2026-08-23T14:15:16+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,18,12,7,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.22-isolated-bidirectional-state-challenger,mandatory complete state scan and candidate freeze before anchor veto,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p23-mandatory-state-scan-before-veto-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R167,luna-gaia-v3.24-isolated-state-evidence-ledger,GAIA-50,2026-08-23T16:11:32+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,20,10,7,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.23-mandatory-state-scan-before-veto,validator-complete local evidence row for every state Step and earliest-candidate derivation,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p24-isolated-state-evidence-ledger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R168,luna-gaia-v3.25-predecessor-feedback-aligned-state-ledger,GAIA-50,2026-08-23T18:16:00+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,18,12,9,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia.v3.24-isolated-state-evidence-ledger,mechanical predecessor-feedback binding for every state evidence row,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p25-predecessor-feedback-aligned-state-ledger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R169,luna-gaia-v3.26-same-step-consumer-witnessed-state-ledger,GAIA-50,2026-08-23T20:32:37+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,19,11,7,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia.v3.25-predecessor-feedback-aligned-state-ledger,literal same-Step later-module Planning/Action consumer witness for state candidates,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p26-same-step-consumer-witnessed-state-ledger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R170,luna-gaia-v3.27-prior-feedback-matured-capability-admission,GAIA-50,2026-08-23T23:15:24+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,21,12,9,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia.v3.26-same-step-consumer-witnessed-state-ledger,prior-feedback maturity gate before interface/corpus Lane-B admission,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p27-prior-feedback-matured-capability-admission-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R171,luna-gaia-v3.28-clean-v3.20-prior-feedback-matured-capability-admission,GAIA-50,2026-08-24T00:48:01+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,19,13,11,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.20-packet-state-closure,prior-feedback maturity gate before interface/corpus Lane-B admission,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p28-clean-v3p20-prior-feedback-matured-capability-admission-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R172,luna-gaia-v3.29-clean-v3.20-acquisition-anchor-zero-contribution-challenger,GAIA-50,2026-08-24T02:23:01+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,20,14,8,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.20-packet-state-closure,literal zero-contribution gate for acquisition-anchor challenger classification,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p29-clean-v3p20-acquisition-anchor-zero-contribution-challenger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R173,luna-gaia-v3.30-clean-v3.20-bounded-bidirectional-challenger,GAIA-50,2026-08-24T03:44:28+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-d01c1c0559,20,13,9,50,0,complete_scored,True,True,agentdebug.codex-agent-judge.luna-gaia-v3.20-packet-state-closure,one bounded earlier-first bidirectional challenger,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p30-clean-v3p20-bounded-bidirectional-challenger-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
